अनुत्तम anuttam
वैक्स wax
वैशवी vaishavi
हिसमनगर hisamnagar
बॉम्बे bombay
नादिराह nadirah
वडघर vadghar
पानोशे panoshe
कन्यका kanyaka
केंप kemp
चाचौरी chachauri
नुतना nutana
ह्रुदयवल्ली hrudayvalli
बार्डर border
काव्हाळा kavhala
भृगुराम bhriguram
अहमद ahmed
जंक्शन junction
रकीबुल raqibul
फसाले fasale
अचलेंद्र achalendra
देवब्रत devabrata
भातसानगर bhatsanagar
गौंडगाव gaundgaon
पुरस्कार puraskaar
तिलवण tilwan
कुसगाव kusgaon
वर्ल्ड world
सचप्रीत sachpreet
शहरियार shahriar
गरही garahi
राज raj
कोलिस collice
थार thar
चर्च church
राखी rakhi
राजापूर rajapur
संसार sansar
फैजीन faizin
झुमरू jhumroo
विदीशा vidisha
दुशंत dushant
गुरुजीत gurujit
सुकेश sukesh
पिरुपातेलवाडी pirupatelwadi
फावज़ी fawzi
लासूर lasur
कलसी kalsi
नरसी narsi
प्रयंक prayank
पानशेंद्र panshedra
शेडगाव shedgaon
सितारा sitara
गुबळ gubal
जयदित्य jayditya
शिवराज shivraj
मायेगाव mayegaon
निर्भया nirbhaya
सुमिल sumil
नहीं nahin
चोंडी chondi
कार्लोस carlos
भ्रष्टाचार bhrashtachar
वैकॉविया wachovia
शिंजिनी shinjini
तनवीर tanvir
प्रीत preet
कोरहाळे korhale
प्रयाती prayati
पायोनिधी payonidhi
उझानी uzani
कोरन्ने koranne
टैलिएसिन taliesin
फ़ास्टनर्स fasteners
प्रेमवती premvati
तायपेई taipei
हिस्सार hissar
अट्टूर attur
शुआ shua
तारा tara
काँगो congo
पाचर्डे pacharde
कलमेन cullman
खेर्डी kherdi
सासवड saswad
श्रावंथी shravanthi
करेवाडी karewadi
युनिस younis
अकोले akole
कार्तिकी kartiki
अंजित anjit
ब्रूकिंग्स brookings
अर्निमा arnima
अवार्ड award
सवान्ना savannah
अपर्णा aparnaa
नीरा neera
विद्याप्रकाश vidyaprakash
इल्सी ilse
कळंब kalamb
मायणी mayani
क्रिस chris
तिरुनारायण thirunarayan
कॉस्टनर costner
पाथलगाव pathalgaon
तवाघाट tavaghat
शशीकला shashikala
यूनिवर्सिटी university
उमाकांत umakant
नैंसी nancy
रतिश ratish
लक्ष्मनकुमार laxmankumar
विज़्युल visual
चन्नान channan
दानकौर dankaur
बुसयराह busayrah
धवली dhawali
मुन्नीलाल munnilal
शहादे shahade
थरंगा tharanga
ज़ैंड्रा zandra
उमराह umarah
बलिल balil
डिगांबर digambar
ऑफ of
चिंचवली chinchvali
चंपक chanpak
ईश्वर ishwar
बसंती basanti
वादी vadi
कुशाग्र kusagra
जीवन jiwan
कामिनी kamini
पानसे panase
रिया rhea
जसवंती jasvanti
फोर्ट fort
राहु rahu
फोर्ट fort
जीत jit
मैरीटाइम maritime
बेद्रेद्दीन bedreddin
रवीकिरन ravikiran
ल्युकायन lukayan
अलग्रासन algrasan
उस्मान osman
साळवे salawe
उमरोली umroli
खोपड khopad
जयकृष्ण jaikrishna
प्रभनूर prabhnur
का ka
कोकिसरे kokisare
सत्यकाम satyakam
खंडवा khandava
कामतशिंगवे kamatshingave
सुखनाम sukhnam
माहूर mahur
वारथ warath
कानून kanoon
सिनसिनाटी cincinnati
काजोल kajol
तुलसीदास tulasi
लूट्स loots
राधा radha
मिसाळ misal
प्रोमीथियम promethium
गुंदलवाडी gundalwadi
ईशिनी ishini
पार्क्स parks
बिजयनगर bijainagar
पहला pahla
एनाडायर anadyr
चारुलता charulata
रामपूरवाडी rampurwadi
क्युमिंग cumming
कोंभाळने kombhalne
मोहगोळे mohgole
सोमकांत somkant
पद्मालया padmalaya
खुदा khuda
कैरव kairav
बेलांबा belamba
बाठे bathe
आज़म azam
वाकनीस vaaknis
अरबाज arabaj
गंगाराम gangaaraam
अंबागढ ambagadh
आसोली asoli
वनराज vanraj
न्यू new
फोर्ट fort
रिश्ता rishta
खालापूर khalapur
पायोधी payodhi
निलेश nilesh
वडाळामहादेव wadalamahadeo
अलकुटी alkuti
राजहंस rajhans
पंजाब punjab
सागवाडा sagwada
नरेंद्रकुमार narendrakumar
मुस्तक़ीम mustaqeem
अलौली alauli
पेंटाकली pentakali
पिंपळाचोर pimplachor
सुदीप sudeep
शिरुर shirur
प्लेयर player
हातकयाळ hatakyal
कबीरा kabira
मर्जनाह marjanah
पलोती paloti
बॉविसैंड bovisand
शची shachee
रतिंदरपाल ratindarpal
झिराडे zirade
हज्जाह hajjah
रिचर्डसन richardson
तर्पिनी tarpini
राणीउंचेगाव raniunchegaon
फोर्ट fort
कोळगाव kolgaon
कुडेशी kudeshi
गोरा gora
सत्यवान satyawan
कपोताक्षी kapotakshi
कासोडा kasoda
पोफलज pophlaj
पंभूशी pambhushi
बिजेवाडी bijewadi
वार war
जेपलिन zeppelin
प्रल्हाद pralhad
बिल bill
साईभानु saibhanu
ट्रिलियम trillium
धोंडपरगाव dhondpargaon
रॉकी rocky
सही sahi
शुभ्रिता shubhrita
कमनगाव kamangaon
मन्नान mannan
वन van
काळू kalu
भास्कर bhaskar
भरोसा bharosa
एसोसिएशन association
डोणाजे donaje
संदीप्ता sandipta
कोचीन cochin
खोरहाळे khorhale
सॉल्यूशन solution
मौसमी mausami
जयकर jaykar
वार war
ममता mamta
ईयर year
मारिया maria
सचिश sachish
वाळन valan
आशुता ashuta
सिगमंड sigmund
देरेगाव deregaon
गोस्वामी goswami
बीर bir
रसूल rasul
नूपुर noopur
पानोडी panodi
धलायबिल dhalaibil
पडाळी padali
गदाधर gadadhar
एल्डोरेडो eldorado
जेकेकुरवाडी jekekurwadi
दिनेश dinesh
नाइ nai
बर्बोरोसा barbarossa
महमूद mehmood
उदयभान udaybhan
सारांश saransh
हिरानगर hiranagar
इंद्रकांता indrakanta
प्रेमियो premio
स्टोर्स stores
उदंक udank
चिकलठाण chikalthan
कहन्नी cahnni
कैलिया kalea
साहिब sahib
सदगुनराव sadgunrao
नंधना nandhana
कॉलेज college
यूनिवर्सिटी university
परवेज़ pervez
प्रकाशमोहन prakashmohan
नवसरवाडी navsarwadi
पेठे pethe
कोंडवी kondavi
ख्वाब khwab
आग aag
जेनेवा jeneva
केदारगुडा kedarguda
लाडची ladachi
असोम asom
वॉलग्रीन walgreen
सनस sanas
महबुबनगर mahbubnagar
काम्या kamya
कटरा katara
शेरगड shergad
आफताब aftab
